condition,unit_a,unit_b,dissimilarity
traditional,ltv_002,mos_002,0.017208206532166148
traditional,ltv_002,mkp_001,0.01454827740997422
traditional,ltv_002,mkp_002,0.015067252838164236
traditional,ltv_002,mix_001,0.01517330699728825
traditional,ltv_002,mix_002,0.021274703002801876
traditional,ltv_002,npv_001,0.012604570070045895
traditional,ltv_002,npv_002,0.006665363084793485
traditional,ltv_002,dol_001,0.012144905178425924
traditional,ltv_002,dol_002,0.009391118394474929
traditional,ltv_002,pbp_001,0.0195910191589872
traditional,ltv_002,pbp_002,0.01996202242674694
traditional,ltv_002,pel_001,0.015034028667312516
traditional,ltv_002,pel_002,0.01986334719269267
traditional,ltv_002,spo_001,0.03073034857225576
traditional,ltv_002,spo_002,0.07391632732121556
traditional,ltv_002,roi_001,0.0087876166364792
traditional,ltv_002,roi_002,0.011244305306526647
traditional,ltv_002,tp_001,0.025521473504680592
traditional,ltv_002,tp_002,0.01637116082807566
traditional,ltv_002,wac_001,0.01512478499224812
traditional,ltv_002,wac_002,0.018035573757932077
traditional,mos_001,mos_002,0.0035350788896937324
traditional,mos_001,mkp_001,0.018375807333525507
traditional,mos_001,mkp_002,0.02098327910469122
traditional,mos_001,mix_001,0.02354858194408982
traditional,mos_001,mix_002,0.03609648140162913
traditional,mos_001,npv_001,0.01273773027048919
traditional,mos_001,npv_002,0.00559283914687736
traditional,mos_001,dol_001,0.022996661338749225
traditional,mos_001,dol_002,0.014073434692738362
traditional,mos_001,pbp_001,0.010552128214802448
traditional,mos_001,pbp_002,0.010743934209954675
traditional,mos_001,pel_001,0.019212983420275664
traditional,mos_001,pel_002,0.016092849034010315
traditional,mos_001,spo_001,0.013047680102805548
traditional,mos_001,spo_002,0.04440761417178807
traditional,mos_001,roi_001,0.0013673173994904753
traditional,mos_001,roi_002,0.005757054316740784
traditional,mos_001,tp_001,0.007834621324950275
traditional,mos_001,tp_002,0.00590512203836846
traditional,mos_001,wac_001,0.015658505483057472
traditional,mos_001,wac_002,0.011833227806809954
traditional,mos_002,mkp_001,0.024820767337295435
traditional,mos_002,mkp_002,0.02864274676808476
traditional,mos_002,mix_001,0.03210666228336001
traditional,mos_002,mix_002,0.04355142930283895
traditional,mos_002,npv_001,0.020767224856170663
traditional,mos_002,npv_002,0.00731457319272677
traditional,mos_002,dol_001,0.02896481200799006
traditional,mos_002,dol_002,0.011830521474495481
traditional,mos_002,pbp_001,0.011299957067016697
traditional,mos_002,pbp_002,0.008613889285140508
traditional,mos_002,pel_001,0.021333483768750994
traditional,mos_002,pel_002,0.014436220216821782
traditional,mos_002,spo_001,0.004807722446771634
traditional,mos_002,spo_002,0.027089530158199038
traditional,mos_002,roi_001,0.007452585412775603
traditional,mos_002,roi_002,0.011199588166019958
traditional,mos_002,tp_001,0.005674005786049041
traditional,mos_002,tp_002,0.004412839891119846
traditional,mos_002,wac_001,0.017367924320697226
traditional,mos_002,wac_002,0.009284017934941713
traditional,mkp_001,mkp_002,0.0018663503227545064
traditional,mkp_001,mix_001,0.0023434236495437633
traditional,mkp_001,mix_002,0.005464999383735347
traditional,mkp_001,npv_001,0.017441857175675923
traditional,mkp_001,npv_002,0.020241926267055677
traditional,mkp_001,dol_001,0.00812981656100531
traditional,mkp_001,dol_002,0.024575648616920964
traditional,mkp_001,pbp_001,0.03514289050916641
traditional,mkp_001,pbp_002,0.027426589407909874
traditional,mkp_001,pel_001,0.0050768761282394825
traditional,mkp_001,pel_002,0.017901777850866774
traditional,mkp_001,spo_001,0.033131687700422296
traditional,mkp_001,spo_002,0.09085032945036486
traditional,mkp_001,roi_001,0.017041749515937288
traditional,mkp_001,roi_002,0.0146083072985983
traditional,mkp_001,tp_001,0.0191245744080194
traditional,mkp_001,tp_002,0.0199658705332304
traditional,mkp_001,wac_001,0.02310821761523374
traditional,mkp_001,wac_002,0.03184868778361427
traditional,mkp_002,mix_001,0.004681191875161916
traditional,mkp_002,mix_002,0.004381559925884848
traditional,mkp_002,npv_001,0.02043439064302821
traditional,mkp_002,npv_002,0.023574998838374994
traditional,mkp_002,dol_001,0.006207483595865204
traditional,mkp_002,dol_002,0.025746001049006262
traditional,mkp_002,pbp_001,0.04274923229996819
traditional,mkp_002,pbp_002,0.03343727943146724
traditional,mkp_002,pel_001,0.003830598997920265
traditional,mkp_002,pel_002,0.014824099775370692
traditional,mkp_002,spo_001,0.039856810130645015
traditional,mkp_002,spo_002,0.0977934009427831
traditional,mkp_002,roi_001,0.01871634874376149
traditional,mkp_002,roi_002,0.015618163810777408
traditional,mkp_002,tp_001,0.022384440131653083
traditional,mkp_002,tp_002,0.02025836615293075
traditional,mkp_002,wac_001,0.027562374052094385
traditional,mkp_002,wac_002,0.03461538432418776
traditional,mix_001,mix_002,0.005840148423051916
traditional,mix_001,npv_001,0.016059377822945753
traditional,mix_001,npv_002,0.02440777112333159
traditional,mix_001,dol_001,0.010403215728552073
traditional,mix_001,dol_002,0.029009135217249127
traditional,mix_001,pbp_001,0.040391129761724986
traditional,mix_001,pbp_002,0.03373620686441292
traditional,mix_001,pel_001,0.009602449151767223
traditional,mix_001,pel_002,0.026338457160480888
traditional,mix_001,spo_001,0.041128947095734336
traditional,mix_001,spo_002,0.10468132545522213
traditional,mix_001,roi_001,0.021306898643376093
traditional,mix_001,roi_002,0.017566953925429285
traditional,mix_001,tp_001,0.027926687743035528
traditional,mix_001,tp_002,0.028680055721764686
traditional,mix_001,wac_001,0.024014502283594252
traditional,mix_001,wac_002,0.037544295383639015
traditional,mix_002,npv_001,0.030851455645323766
traditional,mix_002,npv_002,0.03307722565592164
traditional,mix_002,dol_001,0.0054953933741956895
traditional,mix_002,dol_002,0.03486241388086375
traditional,mix_002,pbp_001,0.053763779107918075
traditional,mix_002,pbp_002,0.04156957116774307
traditional,mix_002,pel_001,0.007240740330476392
traditional,mix_002,pel_002,0.0240310436407265
traditional,mix_002,spo_001,0.05501564614460963
traditional,mix_002,spo_002,0.12295808038039979
traditional,mix_002,roi_001,0.03285253604993443
traditional,mix_002,roi_002,0.025216047135788844
traditional,mix_002,tp_001,0.03626297885432617
traditional,mix_002,tp_002,0.03333334837458268
traditional,mix_002,wac_001,0.03935669751438642
traditional,mix_002,wac_002,0.050946128932785606
traditional,npv_001,npv_002,0.01039342802646237
traditional,npv_001,dol_001,0.023494722975368587
traditional,npv_001,dol_002,0.023844418805049505
