level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr,ci_excludes_0
network,DorsAttn,sustained,S-U,-0.07765380688700141,0.007595538597790248,-0.09421128145391337,-0.06360456737016601,30,1.5544558144540126e-24,1.0881190701178089e-23,True
network,DorsAttn,time_to_peak,S-T,-2.3135594368784425,10.70551062148673,-23.364817119754314,18.109252114409486,30,0.8289026212508372,0.9698810371092031,False
network,DorsAttn,time_to_peak,U-T,-2.909314513449023,6.772976149379347,-15.243574046760639,11.675090119037353,30,0.6675248833283829,0.7013681702532579,False
network,DorsAttn,time_to_peak,S-U,0.5957550765705806,10.135167897937972,-18.579186759743195,21.114239523031085,30,0.9531265599827339,0.9531265599827339,False
network,Limbic,auc,S-T,-0.2754438302052078,0.1954603032931307,-0.6789921061942733,0.09526312019417854,30,0.15877426707375852,0.18523664491938496,False
network,Limbic,auc,U-T,0.026721425343445793,0.13845508647577726,-0.2570606770091087,0.2974449129996669,30,0.8469612665606107,0.8469612665606107,False
network,Limbic,auc,S-U,-0.3021652555486536,0.13050999459343912,-0.564228698814722,-0.05618518695273418,30,0.020598420151474752,0.024031490176720544,True
network,Limbic,mean,S-T,-0.0005708292964598915,0.0012366012471077869,-0.003167506804539109,0.0017356675444338578,30,0.6443599810836609,0.6443599810836609,False
network,Limbic,mean,U-T,0.00022623102421773602,0.0008648280329702418,-0.001582857010452011,0.0018643452896013883,30,0.7936369668723555,0.8118193799055033,False
network,Limbic,mean,S-U,-0.0007970603206776275,0.0008105382316359573,-0.0024722994595237665,0.0007254567528593723,30,0.3254245564741174,0.37966198255313693,False
network,Limbic,peak,S-T,-0.0012827718151051718,0.004196139291704574,-0.009923487596651907,0.006956204318638607,30,0.7598308896043011,0.8268505021046421,False
network,Limbic,peak,U-T,0.01114587413452613,0.002928976673738609,0.005159045867979939,0.016320573886949862,30,0.0001415856939176749,0.00033036661914124144,True
network,Limbic,peak,S-U,-0.012428645949631301,0.0029397879981848045,-0.018079834455198045,-0.006588967070874093,30,2.360550999163655e-05,5.5079523313818615e-05,True
network,Limbic,sustained,S-T,0.08714309646168555,0.012713377129240148,0.06307425165158616,0.11302908466399039,30,7.15917916098314e-12,2.505712706344099e-11,True
network,Limbic,sustained,U-T,0.0012021413691868813,0.010622708601008168,-0.017734140648957245,0.024493002523098332,30,0.9098980603566821,0.9098980603566821,False
network,Limbic,sustained,S-U,0.08594095509249867,0.010263599974653703,0.06671485085239413,0.10678261459913678,30,5.599182888392515e-17,1.306476007291587e-16,True
network,Limbic,time_to_peak,S-T,0.32973198880128707,8.732889191034221,-16.37956329009656,17.99391272177993,30,0.9698810371092033,0.9698810371092031,False
network,Limbic,time_to_peak,U-T,3.0639397711033927,7.989949493924678,-12.26744064999646,18.959767807073714,30,0.7013681702532579,0.7013681702532579,False
network,Limbic,time_to_peak,S-U,-2.7342077823021054,6.002025503895176,-13.780335530903521,9.838002542451123,30,0.648715394785293,0.7568346272495085,False
network,SalVentAttn,auc,S-T,-2.7817891347934243,0.40324388500670727,-3.608364249083473,-2.0065076140127984,30,5.254422343489076e-12,1.226031880147451e-11,True
network,SalVentAttn,auc,U-T,0.11483159291433875,0.2447486111073995,-0.39704969249429306,0.5630410034757138,30,0.6389396963330296,0.8469612665606107,False
network,SalVentAttn,auc,S-U,-2.896620727707763,0.31605882842800415,-3.501895622449787,-2.2720001036219983,30,4.963197915369377e-20,1.737119270379282e-19,True
network,SalVentAttn,mean,S-T,-0.014689819149755446,0.0024594406738865267,-0.019830658887415854,-0.01000916975750961,30,2.331739431193091e-09,8.16108800917582e-09,True
network,SalVentAttn,mean,U-T,0.0008980515210899945,0.0015095283264930327,-0.0021942710967371684,0.0037095237450600806,30,0.5518956506033685,0.7726539108447159,False
network,SalVentAttn,mean,S-U,-0.01558787067084544,0.001870683130022581,-0.01916812072379571,-0.011871961218092218,30,7.900873730528208e-17,2.7653058056848726e-16,True
network,SalVentAttn,peak,S-T,-0.008338429974915719,0.007873656025346239,-0.02351943103239887,0.007636225656326434,30,0.2895865780167276,0.8268505021046421,False
network,SalVentAttn,peak,U-T,0.015106979765940175,0.00653335829602494,0.0032130700251393634,0.02804911533332219,30,0.020762038568517223,0.029066853995924114,True
network,SalVentAttn,peak,S-U,-0.023445409740855894,0.006467819126686241,-0.03626481237667287,-0.010750847884120247,30,0.00028903659116419854,0.0005058140345373474,True
network,SalVentAttn,sustained,S-T,-0.04260036352441898,0.009489225709419435,-0.0614597478887754,-0.024623663952257045,30,7.144408119210877e-06,1.667028561149205e-05,True
network,SalVentAttn,sustained,U-T,0.01586897552768776,0.008000051969805843,-0.0007182206317637119,0.030348524811859495,30,0.04729943898234076,0.13958296270009385,False
network,SalVentAttn,sustained,S-U,-0.058469339052106745,0.0069009814164550445,-0.07163053379919211,-0.04479327083373889,30,2.3995045385039073e-17,8.398265884763676e-17,True
network,SalVentAttn,time_to_peak,S-T,-51.88574862233128,13.451662621174949,-77.80129813757732,-24.139557903684437,30,0.000114693469686624,0.000802854287806368,True
network,SalVentAttn,time_to_peak,U-T,-22.211658587575215,9.106089716367306,-40.38298510798217,-4.884771946649643,30,0.014719440804947838,0.034345361878211626,True
network,SalVentAttn,time_to_peak,S-U,-29.674090034756063,10.64627335072471,-50.1903748778315,-8.027582571701817,30,0.005315337465921917,0.01240245408715114,True
network,SomMot,auc,S-T,-1.5338391136574487,0.31163204238384035,-2.1692636398301945,-0.9443304280680674,30,8.568360349532094e-07,1.4994630611681165e-06,True
network,SomMot,auc,U-T,0.2855813973740548,0.19060235656871494,-0.09985382604325181,0.6340954043684787,30,0.13405275370777844,0.312789758651483,False
network,SomMot,auc,S-U,-1.8194205110315036,0.22672833544917126,-2.265227786249526,-1.3818203690655861,30,1.0179761852907685e-15,2.37527776567846e-15,True
network,SomMot,mean,S-T,-0.00734074249595469,0.0019450179481110435,-0.011421450811044958,-0.003634487662106228,30,0.00016056969950291783,0.0002809969741301062,True
network,SomMot,mean,U-T,0.0019023652079110643,0.001206027425506665,-0.0006234021188947085,0.004112108579368909,30,0.11470779660344549,0.2988631612444723,False
network,SomMot,mean,S-U,-0.009243107703865754,0.0014004571241550327,-0.012012927449112854,-0.006564869663356291,30,4.109782355979226e-11,7.192119122963646e-11,True
network,SomMot,peak,S-T,0.0013044972277671642,0.005963615526172453,-0.00992383041053813,0.013695828578330143,30,0.8268505021046422,0.8268505021046421,False
network,SomMot,peak,U-T,0.028933469781800416,0.004733165715646408,0.020155364806244445,0.0383435700571015,30,9.78235867269556e-10,6.847651070886891e-09,True
network,SomMot,peak,S-U,-0.02762897255403325,0.005297325660198053,-0.03825294406210357,-0.017834030361701,30,1.8317824160095757e-07,6.411238456033515e-07,True
network,SomMot,sustained,S-T,-0.0006159277688073942,0.016084107987905834,-0.03167496040652052,0.030488946699785788,30,0.9694531289709425,0.9694531289709426,False
network,SomMot,sustained,U-T,0.004660026529204804,0.011321861646263467,-0.01716354605937582,0.02631923544256909,30,0.680635980731016,0.7940753108528521,False
network,SomMot,sustained,S-U,-0.0052759542980121985,0.010042502086410386,-0.023737574458972586,0.0150193555696557,30,0.5993311965928925,0.5993311965928925,False
