scenario,network,year,mechanism,d_mean,d_median,d_n,d_lo90,d_hi90,d_lo95,d_hi95,prsup
scaffolding_nofade,Cont,5,D,-9.765721414387231,-8.499808378791924,500,-20.62239983678666,-3.94265064654918,-24.298449017285552,-3.549994466935419,0.0005250000000000001
scaffolding_nofade,Cont,10,D,-5.906738765138436,-4.839886340633816,500,-13.882234674080676,-1.8732012598870036,-17.05798961931798,-1.4611923294444407,0.012379
scaffolding_nofade,Default,1,D,13.228577002243746,11.804331704520626,500,6.003651991825522,24.920840875325958,5.444624246538604,28.854760816758354,0.999984
scaffolding_nofade,Default,5,D,9.56608420819638,8.312067194931938,500,3.9548151114731667,20.517386430449882,3.4816607558933157,24.370803136301426,0.9994570000000002
scaffolding_nofade,Default,10,D,5.773816634443347,4.707778308052205,500,1.8380553572931433,13.382517292273548,1.4509136540720242,16.584363219079883,0.987562
scaffolding_nofade,DorsAttn,1,D,-14.164921341636058,-12.631610114239798,500,-27.36799103305564,-6.422660462760808,-31.536955872778613,-5.783064880148722,7e-06
scaffolding_nofade,DorsAttn,5,D,-9.969202987122785,-8.681649177972119,500,-21.0174026073582,-3.9884190781865145,-25.114346165195208,-3.607894597656718,0.00044900000000000007
scaffolding_nofade,DorsAttn,10,D,-5.980592404991503,-4.885641295324877,500,-14.126288191828518,-1.8729307500103547,-17.43618489433981,-1.4627468466002962,0.012232
scaffolding_nofade,Limbic,1,D,1.0471447573936088,0.9224967554566814,500,0.4921526423780506,2.082715846704516,0.42303917851373096,2.4242088726952233,0.87101
scaffolding_nofade,Limbic,5,D,1.229476674598674,1.0793096211550377,500,0.4547982159308897,2.4809762740301236,0.3883296950719453,3.118649451460465,0.8977180000000001
scaffolding_nofade,Limbic,10,D,0.8060273500605971,0.6886594373491959,500,0.18738508727045858,1.9425229798450043,0.1464777236478483,2.281486571168447,0.83096
scaffolding_nofade,SalVentAttn,1,D,-13.984271106177534,-12.446203966644294,500,-26.867898047326428,-6.367860414028454,-31.083839347530258,-5.73796067131682,6e-06
scaffolding_nofade,SalVentAttn,5,D,-9.895444043794173,-8.606351893592926,500,-20.830292300936915,-3.964175383375646,-24.83505955374688,-3.5881767934561553,0.000459
scaffolding_nofade,SalVentAttn,10,D,-5.957730113345011,-4.872108492824152,500,-14.027595335880873,-1.8787658410274568,-17.28785133224061,-1.4655668122165169,0.012152000000000001
scaffolding_nofade,SomMot,1,D,-14.135146123938386,-12.499277091292184,500,-27.61365682480598,-6.429076309925265,-31.722756529544704,-5.824830773299559,1.2e-05
scaffolding_nofade,SomMot,5,D,-10.344889347889758,-8.97257339106829,500,-22.176881960739426,-4.117834362388131,-26.009153492198962,-3.731865718442015,0.00043900000000000005
scaffolding_nofade,SomMot,10,D,-6.212255887065863,-5.075797698217381,500,-14.768803482149831,-1.9401008515241387,-18.30657693421143,-1.5181105604069256,0.011019
scaffolding_nofade,Vis,1,D,-14.57749973043206,-12.783850432589764,500,-28.978146155438957,-6.486779107850176,-33.90248798963629,-5.923842754986255,2.7e-05
scaffolding_nofade,Vis,5,D,-11.058226817850077,-9.406669495792816,500,-24.136736899695116,-4.264782525559824,-28.908537400158774,-3.8834000083105895,0.000504
scaffolding_nofade,Vis,10,D,-6.546529110168843,-5.285872099051739,500,-15.950226044779187,-1.9825854988586402,-19.92921640718674,-1.5503683161588813,0.011120000000000001
scaffolding_rapid,Cont,1,D,-14.355357084602106,-13.136188106938153,500,-25.574177032245874,-6.685887055331245,-29.55408463547402,-6.0719834271544295,1.2e-05
