scenario,a,e,o,f,median_G,mean,n,lo90,hi90,lo95,hi95,share_beneficial_eps0.01,class_eps0.01,share_beneficial_eps0.02,class_eps0.02,share_beneficial_eps0.05,class_eps0.05
grid_o0.00_a0.55_e0.50,0.55,0.5,0.0,0.0,0.007554345217500423,0.008242036542123613,100,0.0028801283857955162,0.015115173247156404,0.0023570602935179467,0.016458260389534116,0.27,neutral,0.02,neutral,0.0,neutral
grid_o0.00_a0.55_e0.67,0.55,0.667,0.0,0.0,0.008027915775580676,0.008947506020002322,100,0.0029310785205608155,0.0166503175411701,0.0024703277957200532,0.018425063043756747,0.39,neutral,0.02,neutral,0.0,neutral
grid_o0.00_a0.55_e0.83,0.55,0.833,0.0,0.0,0.0085023254073716,0.009674855962170551,100,0.002996529781969397,0.018417090702653342,0.0025532344349610105,0.020775414832762486,0.44,neutral,0.04,neutral,0.0,neutral
grid_o0.00_a0.55_e1.00,0.55,1.0,0.0,0.0,0.009027987748206383,0.010411937990178512,100,0.003107509529575604,0.02003736996476513,0.0026664400997728644,0.02297841113800482,0.46,neutral,0.05,neutral,0.0,neutral
grid_o0.00_a0.70_e0.00,0.7,0.0,0.0,0.0,0.010206451812684815,0.010975598521022714,100,0.004438246395187343,0.01811023440863164,0.0036858527285746597,0.020499505556221785,0.52,beneficial,0.04,neutral,0.0,neutral
grid_o0.00_a0.70_e0.17,0.7,0.167,0.0,0.0,0.010594075483626553,0.011405578409703092,100,0.004460256532731303,0.01934101054225146,0.0037415763935834344,0.0217994562671276,0.54,beneficial,0.05,neutral,0.0,neutral
grid_o0.00_a0.70_e0.33,0.7,0.333,0.0,0.0,0.011147244899189687,0.011935673955295451,100,0.004498344047956337,0.0207082952631439,0.003810130848494972,0.023006475429252955,0.55,beneficial,0.07,neutral,0.0,neutral
grid_o0.00_a0.70_e0.50,0.7,0.5,0.0,0.0,0.011673001170109174,0.012538498704126527,100,0.004570179835020713,0.02279715972832815,0.0038854010879838057,0.024452749876922433,0.6,beneficial,0.12,neutral,0.0,neutral
grid_o0.00_a0.70_e0.67,0.7,0.667,0.0,0.0,0.012096415409084937,0.013211215561663206,100,0.004632346121278853,0.024519240026223455,0.003973088735342067,0.026079668528822136,0.62,beneficial,0.17,neutral,0.0,neutral
grid_o0.00_a0.70_e0.83,0.7,0.833,0.0,0.0,0.012614978302241224,0.013911928619431626,100,0.0047122812640579765,0.02568031191334982,0.004055316670285284,0.027908084358182355,0.63,beneficial,0.2,neutral,0.0,neutral
grid_o0.00_a0.70_e1.00,0.7,1.0,0.0,0.0,0.013145487310172593,0.014616451275757258,100,0.004783757396368036,0.02704764109487438,0.004138843879354341,0.03004610760902788,0.63,beneficial,0.22,neutral,0.0,neutral
grid_o0.00_a0.85_e0.00,0.85,0.0,0.0,0.0,0.01392193357345034,0.014813813013642492,100,0.005898507215845577,0.0250412088016045,0.004966475960057539,0.02811173670660482,0.75,beneficial,0.22,neutral,0.0,neutral
grid_o0.00_a0.85_e0.17,0.85,0.167,0.0,0.0,0.014291439701918561,0.015232781024966916,100,0.005935532265260037,0.0261805611703728,0.00503056484263093,0.029277179274933843,0.77,beneficial,0.23,neutral,0.0,neutral
grid_o0.00_a0.85_e0.33,0.85,0.333,0.0,0.0,0.014790630625269478,0.015736482691804655,100,0.005980753957950293,0.027478099112570174,0.005097135725195158,0.030412159348689707,0.79,beneficial,0.25,neutral,0.0,neutral
grid_o0.00_a0.85_e0.50,0.85,0.5,0.0,0.0,0.015208104697648578,0.0163187346593146,100,0.006055723083410548,0.0287857769670002,0.005166222104235843,0.03183006008611519,0.79,beneficial,0.28,neutral,0.0,neutral
grid_o0.00_a0.85_e0.67,0.85,0.667,0.0,0.0,0.01571376274813375,0.016960312514168775,100,0.006106251531411468,0.0310016596555924,0.0052347432184929685,0.03328950613183322,0.81,beneficial,0.32,neutral,0.0,neutral
