scenario,half_life_weeks,lambda_O,network,median_d,prsup,n_draws
substitution,52.0,0.6667,Cont,-0.44149287451276265,0.4578333333333333,100
substitution,52.0,0.6667,Default,1.5182724423954648,0.8634000000000001,100
substitution,52.0,0.6667,DorsAttn,-0.956385960401296,0.2569,100
substitution,52.0,0.6667,Limbic,0.8830116438936884,0.7375,100
substitution,52.0,0.6667,SalVentAttn,-0.5171666470305616,0.4407333333333333,100
substitution,52.0,0.6667,SomMot,0.1919896409082793,0.5842,100
substitution,52.0,0.6667,Vis,0.4720846757290173,0.6412333333333333,100
substitution,52.0,0.8333,Cont,-0.5273819141595139,0.4298,100
substitution,52.0,0.8333,Default,1.1750541289368854,0.8126666666666666,100
substitution,52.0,0.8333,DorsAttn,-1.0047397451492008,0.2323,100
substitution,52.0,0.8333,Limbic,0.5739956394761794,0.6751,100
substitution,52.0,0.8333,SalVentAttn,-0.6342899957292556,0.4052,100
substitution,52.0,0.8333,SomMot,-0.010053134234715114,0.5519666666666666,100
substitution,52.0,0.8333,Vis,0.24839677552745676,0.6047666666666667,100
substitution,52.0,1.0,Cont,-0.5962431094927687,0.4064333333333333,100
substitution,52.0,1.0,Default,0.9058005732675671,0.7699333333333334,100
substitution,52.0,1.0,DorsAttn,-1.0371219110023735,0.21166666666666667,100
substitution,52.0,1.0,Limbic,0.3517810513283934,0.6303333333333333,100
substitution,52.0,1.0,SalVentAttn,-0.7220043917420895,0.37276666666666664,100
substitution,52.0,1.0,SomMot,-0.17180633031247017,0.5263666666666666,100
substitution,52.0,1.0,Vis,0.06525909586303705,0.5750666666666667,100
substitution,104.0,0.0,Cont,0.7034134546860418,0.6815333333333333,100
substitution,104.0,0.0,Default,7.298662214002606,1.0,100
substitution,104.0,0.0,DorsAttn,-0.41821975756540314,0.4732,100
substitution,104.0,0.0,Limbic,5.303607555626259,1.0,100
substitution,104.0,0.0,SalVentAttn,0.9528966572181454,0.7216666666666667,100
substitution,104.0,0.0,SomMot,2.8965226182489525,1.0,100
substitution,104.0,0.0,Vis,3.8997734733141196,1.0,100
substitution,104.0,0.1667,Cont,0.222968447254458,0.6010666666666666,100
substitution,104.0,0.1667,Default,4.513379198687369,1.0,100
substitution,104.0,0.1667,DorsAttn,-0.6409318598570023,0.40523333333333333,100
substitution,104.0,0.1667,Limbic,3.237390169250132,1.0,100
substitution,104.0,0.1667,SalVentAttn,0.32263541294780196,0.6032,100
substitution,104.0,0.1667,SomMot,1.671850969497941,0.9686333333333333,100
