scenario,year,network,mechanism,main_contrast,permuted_units_median_ratio,permuted_units_share_as_large,permuted_conditions_median_ratio,permuted_conditions_share_as_large,reading speed 180 wpm change ratio,reading speed 260 wpm change ratio,unwinsorised Z change ratio
scaffolding_rapid,1,SalVentAttn,D,-25.590786382249533,0.9974080593071227,0.405,0.21045506590602686,0.0,0.3045040192881968,0.18800428974894132,0.021621105731784888
scaffolding_rapid,1,Limbic,D,0.2404940727554704,1.0619853278758016,0.525,6.821357711912872,0.965,12.731757658704705,16.22305856620157,2.378399566280977
scaffolding_rapid,1,Cont,D,-16.855017339667572,1.0011234699600804,0.535,0.21026901902298983,0.0,0.3025615217044929,0.13220684116189646,0.007499543050021959
scaffolding_rapid,1,Default,D,8.578616552953802,0.9941640092927821,0.425,0.2957046874089548,0.0,0.5271021542349247,0.03466746677159645,0.04640789180930254
scaffolding_rapid,5,Vis,D,-14.999194327802945,0.9748941676799538,0.095,0.30175944309276076,0.02,0.7723349991835533,0.479917606942601,0.0006812028672559183
scaffolding_rapid,5,SomMot,D,-23.194269767234523,1.006424892695998,0.615,0.2397337670171254,0.0,0.8524242636951116,0.27765365174499756,0.010078831408059498
scaffolding_rapid,5,DorsAttn,D,-44.83653458088335,0.9956542023054051,0.215,0.20506240335024023,0.0,0.26354892791243,0.0643121132504976,0.013562127610574837
scaffolding_rapid,5,SalVentAttn,D,-38.78849132550749,0.9966531767681461,0.38,0.20915492144830738,0.0,0.3034321424015531,0.19330561667229057,0.021487802620069447
scaffolding_rapid,5,Limbic,D,0.32974012606101794,1.104048149390465,0.565,7.482733925236886,0.965,14.016442751523657,18.332687172097746,2.5999671313765353
scaffolding_rapid,5,Cont,D,-25.56394185298822,1.0000846774513361,0.505,0.2100495471520799,0.0,0.3010670232107425,0.13736451195300278,0.007340668791807766
scaffolding_rapid,5,Default,D,12.925289301449661,0.9973149208150685,0.46,0.29714870759678313,0.005,0.5291710677932945,0.023902935394394642,0.04633543041773642
