level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr,ci_excludes_0,wpm
network,DorsAttn,time_to_peak,S-U,-5.5333333333333385,8.106396782099846,-20.167500000000004,10.839999999999964,30,0.49486689402994055,0.5773447097015972,False,220
network,Limbic,auc,S-T,0.12123880147505782,0.12834087734147778,-0.13716468502417267,0.37549412387500386,30,0.3448312577311159,0.34483125773111595,False,220
network,Limbic,auc,U-T,0.2068642164991482,0.1294107842297264,-0.03605406174440926,0.4644200255381467,30,0.10992989318989027,0.192377313082308,False,220
network,Limbic,auc,S-U,-0.08562541502409039,0.10266032311946845,-0.2900813851487089,0.11868247155488487,30,0.4042441776068979,0.47161820720804754,False,220
network,Limbic,mean,S-T,0.0009577503466973286,0.000770326639622759,-0.0006331267926552647,0.0025126916494924785,30,0.21375575696765003,0.21375575696765003,False,220
network,Limbic,mean,U-T,0.000929697000245019,0.0007558774804999643,-0.0004888399369750448,0.0024320352128847198,30,0.21871310746361916,0.38274793806133356,False,220
network,Limbic,mean,S-U,2.8053346452309546e-05,0.0005966160589177303,-0.0011354085555291482,0.0011924835666648073,30,0.9624966738128867,0.9624966738128867,False,220
network,Limbic,peak,S-T,0.0017585710569634207,0.00261343555633212,-0.0036035595549870148,0.006476686520771246,30,0.5010132806773454,0.5010132806773454,False,220
network,Limbic,peak,U-T,0.012319080076862188,0.002521150214795771,0.007355449819830863,0.0170407561044282,30,1.0275195451480435e-06,2.397545605345435e-06,True,220
network,Limbic,peak,S-U,-0.010560509019898768,0.002336468941750902,-0.015216373506883912,-0.006116064151593531,30,6.188097539002301e-06,1.4438894257672036e-05,True,220
network,Limbic,sustained,S-T,0.08824037727490287,0.011100922170147654,0.0660358507416162,0.10919746220086896,30,1.881397057743563e-15,6.584889702102471e-15,True,220
network,Limbic,sustained,U-T,0.0017957190256444602,0.009281325476554197,-0.015849731046127146,0.02035744398640298,30,0.8465857531835671,0.9081673872300763,False,220
