scenario,outcome,year,mean,median,n,lo90,hi90,lo95,hi95,prsup,share_draws_positive
free_choice,R,5,-0.03366937637029703,-0.032755033701690375,500,-0.04830506526373169,-0.020525693055768495,-0.051596697432701594,-0.019392300192021948,0.0007510000000000001,0.0
free_choice,R,10,-0.04802974736372167,-0.04839244734659216,500,-0.06744182068752957,-0.026292168217449705,-0.07118638381743785,-0.02260783157500395,0.00034100000000000005,0.0
free_choice,far,1,-0.01019777329569187,-0.010029443264002067,500,-0.01436831451688615,-0.006963443732173407,-0.015188387156651823,-0.006568973003428954,0.155255,0.0
free_choice,far,5,-0.013667277645897804,-0.013218380074813067,500,-0.020774014614707226,-0.007589159063221546,-0.023357870755471275,-0.006747687589362321,0.07889199999999999,0.0
free_choice,far,10,-0.01862749357206463,-0.01884888420320627,500,-0.02737960373041833,-0.009308720662272856,-0.028695281407679976,-0.008076535620401533,0.051882000000000005,0.0
free_choice,p_request,1,0.010608140165430605,0.010271323148351769,500,0.006356522759885638,0.016019368065187074,0.006016212802454422,0.01716329068518719,0.922908,1.0
free_choice,p_request,5,0.016486771331342315,0.016037006770290168,500,0.007167903564788954,0.02718494815027588,0.006229928773742452,0.030989146840158802,0.9485029999999999,1.0
free_choice,p_request,10,0.024504544234285844,0.025254145931273595,500,0.009784355915642301,0.03760815573488274,0.00807397557139837,0.03903067822824854,0.9644289999999999,1.0
free_choice,retention,1,-0.007812060092704818,-0.0076534775821003554,500,-0.01122555801925311,-0.0051724720541212205,-0.01209108071333319,-0.004857926514350535,0.139563,0.0
free_choice,retention,5,-0.012578868550117027,-0.012197333780546842,500,-0.01993204594232888,-0.0063902858875582655,-0.023125161668024943,-0.005645060441590797,0.06301299999999999,0.0
free_choice,retention,10,-0.019788241234744562,-0.019946802692881918,500,-0.031882166047966835,-0.00842549615914854,-0.033890142611916155,-0.0071000999941466265,0.041892,0.0
free_choice,unaided,1,-0.009084518771134583,-0.008651575593279167,500,-0.014417464948372927,-0.005404720844561085,-0.016165263195454145,-0.004935092871617436,0.155255,0.0
free_choice,unaided,5,-0.01546987260858025,-0.014653502047862534,500,-0.026740771846621464,-0.006581534902366755,-0.031367116563114666,-0.00575068265155633,0.078892,0.0
free_choice,unaided,10,-0.026339870930251634,-0.026162958432298124,500,-0.04391800423770965,-0.009653876245949494,-0.04738340421983215,-0.0079227092746776,0.051882000000000005,0.0
free_choice_centaur,D,1,0.03215343797598002,0.03191090520229332,500,0.022658380650069077,0.04223482685158159,0.021385811194951546,0.04348094282697966,0.996296,1.0
free_choice_centaur,D,5,0.060755657502802124,0.06167997846519184,500,0.04041937286235398,0.07846401207142308,0.03709689065441109,0.08139218609300097,0.9999960000000001,1.0
