level,key,metric,contrast,estimate,se,ci_low,ci_high,n_units,p,q_fdr
parcel,389,auc,S-U,0.49950596719784746,0.355041235103382,-0.1950182719724428,1.2180497875787324,30,0.1594583353786817,0.21050605330519037
parcel,39,auc,S-T,-0.12749322818391615,0.25506104582333533,-0.6317939200398839,0.36989783850344,30,0.617178038375739,0.6813066664712625
parcel,39,auc,U-T,0.9078624265779226,0.19414041161734236,0.5237152095218,1.2844436461009325,30,2.920706591556125e-06,7.256413892064907e-06
parcel,39,auc,S-U,-1.0353556547618388,0.16387489874859715,-1.3619423552437342,-0.7354632111335628,30,2.6503231721023744e-10,9.191872273187425e-10
parcel,390,auc,S-T,-0.07596465267803443,0.49594559495560525,-1.0046722241153505,0.9282345008756456,30,0.8782631561931402,0.9062044603884507
parcel,390,auc,U-T,1.123006159145062,0.41560313702360974,0.3747075670401272,1.9714749389394857,30,0.006890058099357159,0.011483430165595264
parcel,390,auc,S-U,-1.1989708118230964,0.356567188014946,-1.8729802505124127,-0.47999090063787686,30,0.0007722942329659013,0.0014851812172421179
parcel,391,auc,S-T,0.719905656464495,0.5757143691019232,-0.4367238168088566,1.872467940583027,30,0.21113291145489888,0.2701060700915551
parcel,391,auc,U-T,-0.012646215615855163,0.606942579554023,-1.1941693575941486,1.188831746455509,30,0.9833765326545344,0.9858626292070993
parcel,391,auc,S-U,0.7325518720803502,0.4283491270726983,-0.11764666520717108,1.6056195649538465,30,0.08723355875812772,0.12186294587864174
parcel,392,auc,S-T,0.6872394036970942,0.41535228364273297,-0.106186717166706,1.532761336234074,30,0.0980068778497575,0.13502669738198508
parcel,392,auc,U-T,2.519436742170076,0.3393775371784247,1.8501869487291647,3.1743082300435668,30,1.1389368459239925e-13,5.578466184117514e-13
parcel,392,auc,S-U,-1.8321973384729815,0.4026073516254004,-2.5873313458109313,-0.9845372173531604,30,5.343488277680884e-06,1.2722591137335438e-05
parcel,393,auc,S-T,1.6431592757308295,0.3113272722082803,1.0310499436758531,2.2543775056925095,30,1.306611382653627e-07,3.65485701441574e-07
parcel,393,auc,U-T,2.0545616887934037,0.2609903446926002,1.5320301199573443,2.5689311567922446,30,3.4852793206483327e-15,2.0401635047697556e-14
