tag,form,forgetting,epw,effort,outcome_weights,scenario,tier,mean,median,n,lo90,hi90,lo95,hi95
spec_bounded_weekly_break_0.25_epw3_fixed_high,bounded,weekly_break_0.25,3,fixed_high,equal,substitution,2,-0.18911979687402883,-0.19917223526359867,50,-0.23466990332685456,-0.13627399546134014,-0.24490117216977947,-0.11228512764132084
spec_bounded_weekly_break_0.25_epw3_fixed_high,bounded,weekly_break_0.25,3,fixed_high,learning_first,free_choice,2,-0.027151759697563414,-0.025889709448522105,50,-0.04647290660465555,-0.012033990523365432,-0.057742901434781176,-0.010204258749373576
spec_bounded_weekly_break_0.25_epw3_fixed_high,bounded,weekly_break_0.25,3,fixed_high,learning_first,scaffolding_nofade,2,0.01531676359418175,0.01422139953908133,50,0.0070605518978188895,0.02865174739386596,0.0050386744319756635,0.03084957703399143
spec_bounded_weekly_break_0.25_epw3_fixed_high,bounded,weekly_break_0.25,3,fixed_high,learning_first,scaffolding_rapid,2,0.036933267524008155,0.036908808405932705,50,0.02127763386061737,0.05306542888775248,0.017941011407705373,0.05539229017408175
spec_bounded_weekly_break_0.25_epw3_fixed_high,bounded,weekly_break_0.25,3,fixed_high,learning_first,substitution,2,-0.18604622952596223,-0.19586284441911578,50,-0.23425526867364904,-0.13541461147059305,-0.24578201840243427,-0.10877728565435202
spec_bounded_weekly_break_0.25_epw3_fixed_high,bounded,weekly_break_0.25,3,fixed_high,autonomy_first,free_choice,2,-0.03301377026389471,-0.032856058232827876,50,-0.053183611906632365,-0.014935457996514901,-0.06110498129544947,-0.01298666262037185
spec_bounded_weekly_break_0.25_epw3_fixed_high,bounded,weekly_break_0.25,3,fixed_high,autonomy_first,scaffolding_nofade,2,0.01662503693303568,0.015916028883101237,50,0.00675494517400056,0.03255497602653795,0.004635620137741537,0.0348962931768778
spec_bounded_weekly_break_0.25_epw3_fixed_high,bounded,weekly_break_0.25,3,fixed_high,autonomy_first,scaffolding_rapid,2,0.06079678990437923,0.06119692892972696,50,0.0371121524963605,0.08411041656757942,0.03314298365331665,0.08871825210325225
spec_bounded_weekly_break_0.25_epw3_fixed_high,bounded,weekly_break_0.25,3,fixed_high,autonomy_first,substitution,2,-0.2181266769457591,-0.22946231792937816,50,-0.2665387710588924,-0.15773158272250004,-0.27541743603124214,-0.13092586163903114
spec_bounded_weekly_break_0.25_epw1_drawn,bounded,weekly_break_0.25,1,drawn,equal,free_choice,2,-0.040996158636010686,-0.04098964191350521,50,-0.0506609492661156,-0.030080307972370376,-0.054575881516223085,-0.02913269797288061
