scenario,mediator,outcome,year,sc_full_median,sc_held_median,contribution,per_draw_median,per_draw_lo90,per_draw_hi90,per_draw_lo95,per_draw_hi95,small_full_sc
scaffolding_nofade,D,R,10,0.020045969436527457,0.017644196306232988,0.11981326909129153,0.1101528848000492,0.0776180828419592,0.1277604147861887,0.07251364609830137,0.12886287058906626,False
scaffolding_nofade,D,M,10,-0.00025757049430254024,-0.0002922683492922898,-0.13471207206285718,0.03623571904764539,-0.35057798295436676,0.41842775232716134,-0.48178972356433225,0.8243997414705033,True
scaffolding_nofade,D,D,10,-0.019380715550225205,-0.016964289871074657,0.12468196403215204,0.11129608066976132,0.09073478651498171,0.12921246078035709,0.08501582648344289,0.12926895614448053,False
scaffolding_nofade,D,unaided,10,0.01954210883277542,0.018455914746048636,0.05558223506078597,0.04583775012970254,0.027691951573095147,0.06011061492765106,0.024211542965681867,0.06449002498597266,False
scaffolding_nofade,D,far,10,0.017385420756299976,0.01674893303317448,0.03661042962649319,0.04029974069973269,0.021076575400367895,0.05344656394499737,0.019397084647486625,0.05589516247044303,False
scaffolding_nofade,D,retention,10,0.015102218517688826,0.014262955963429424,0.05557213685369444,0.04625609282560422,0.027725500387053292,0.059892204898462954,0.024145090288613252,0.06382151991667331,False
scaffolding_nofade,D,G,10,0.014141325769062952,0.012783203142993001,0.09603927158238035,0.08067725090184685,0.05364162764112079,0.09843452280825635,0.05246043581817101,0.10252399306274314,False
substitution,E,K,10,-0.14842531815589322,-0.004622907854865342,0.9688536436215698,0.9660794291942966,0.9551723414250373,0.9749554808222947,0.9519789300459476,0.9763381046947964,False
substitution,E,R,10,-0.2796456693588131,-0.17929839504656833,0.3588372190505452,0.360878828964131,0.29503344206371224,0.4368761094573523,0.28623415987905054,0.44681044627094024,False
substitution,E,M,10,-0.09595516910389014,-0.07818801969573966,0.1851609410318905,0.18639280252520646,0.11585791474632626,0.26663292490793983,0.09882728905823777,0.2806987894009154,False
substitution,E,D,10,0.24530648220026502,0.11998081931440505,0.5108942159284064,0.501772520616732,0.3940413710264883,0.582568736133151,0.3863848158323961,0.5895234188920012,False
substitution,E,unaided,10,-0.18172104139313805,-0.04946866160394117,0.7277769199169406,0.722888758969522,0.6630129144722967,0.7722185603595147,0.6433496618986928,0.7831153349551586,False
substitution,E,far,10,-0.13834724048126384,-0.04815616960381257,0.6519181052235423,0.6526636092589596,0.584994120547612,0.7117689327065142,0.5625086526173815,0.7192670397137654,False
substitution,E,retention,10,-0.14467101568610063,-0.04607200391421058,0.681539500530119,0.6795115432574583,0.609823735631664,0.7286068472546723,0.588665228777955,0.7344626120634739,False
substitution,E,G,10,-0.1967538522861354,-0.09719461500709903,0.5060090876098795,0.5120955689929112,0.420916161639262,0.5560014197471566,0.4166096959238918,0.5686914997935916,False
substitution,F,K,10,-0.14842531815589322,-0.12262650479116283,0.17381679679226647,0.1794406271899217,0.0779047590839517,0.2558618323350281,0.06506585288843483,0.2642091186953028,False
substitution,F,R,10,-0.2796456693588131,-0.2726213029818894,0.02511880978893577,0.022532089534757938,-0.008503429750289296,0.04006973879797006,-0.011596213960820133,0.04531216799172309,False
substitution,F,M,10,-0.09595516910389014,-0.09378992792819957,0.022565133237859025,0.028585753421864535,0.00579711328683437,0.046392637373607576,0.0041298416484482165,0.050248537699707656,False
substitution,F,D,10,0.24530648220026502,0.23031521587513434,0.06111239373157695,0.06566085925189746,0.017963500252057146,0.10726474999636794,0.017458147302437242,0.12062418875948101,False
substitution,F,unaided,10,-0.18172104139313805,-0.16099131076355727,0.11407446529394338,0.10491388203554514,0.04748331837534472,0.15146203418161772,0.04273256547370012,0.15346715548102485,False
substitution,F,far,10,-0.13834724048126384,-0.12868532202475247,0.06983817257865632,0.06827494539248907,0.007342358383040126,0.10291392575788054,0.0038273344200659824,0.11251178189976228,False
substitution,F,retention,10,-0.14467101568610063,-0.13292723451883826,0.08117577049948554,0.09207007268215167,0.025896453969621733,0.13493425991859478,0.023063810388852014,0.14267043821932393,False
substitution,F,G,10,-0.1967538522861354,-0.1837455856312668,0.06611441912685356,0.0679502907939844,0.017715477655424035,0.10581007420045897,0.012858752516131186,0.11644567542791827,False
substitution,D,K,10,-0.14842531815589322,-0.14842531815589322,0.0,0.0,0.0,0.0,0.0,0.0,False
substitution,D,R,10,-0.2796456693588131,-0.2796456693588131,0.0,0.0,0.0,0.0,0.0,0.0,False
substitution,D,M,10,-0.09595516910389014,-0.09595516910389014,0.0,0.0,0.0,0.0,0.0,0.0,False
substitution,D,D,10,0.24530648220026502,0.24530648220026502,0.0,0.0,0.0,0.0,0.0,0.0,False
substitution,D,unaided,10,-0.18172104139313805,-0.18172104139313805,0.0,0.0,0.0,0.0,0.0,0.0,False
substitution,D,far,10,-0.13834724048126384,-0.13834724048126384,0.0,0.0,0.0,0.0,0.0,0.0,False
substitution,D,retention,10,-0.14467101568610063,-0.14467101568610063,0.0,0.0,0.0,0.0,0.0,0.0,False
substitution,D,G,10,-0.1967538522861354,-0.1967538522861354,0.0,0.0,0.0,0.0,0.0,0.0,False
free_choice,E,K,10,-0.020927369002819357,0.005167197180091525,1.246910979559609,1.2654777955563161,1.1598943316843853,1.5864737600471548,1.1529832543727045,1.633437165165478,False
free_choice,E,R,10,-0.051677794131362045,-0.02925242085729809,0.4339460236452801,0.4148860335148993,0.29015583169876014,0.49829280519445424,0.27343504650751205,0.5023148281411478,False
free_choice,E,M,10,-0.0196962027629586,-0.017269003267787165,0.12323184952868749,0.14174999842914887,0.023576299032972845,0.22804419230288958,0.008548888586690263,0.23148982489263575,False
free_choice,E,D,10,0.04569835199518503,0.01920718561862282,0.5796963176998906,0.5460513785248357,0.3818450834614829,0.686509658234651,0.35239592202849845,0.7017574159313744,False
free_choice,E,unaided,10,-0.029033214739893568,-0.003989840282420107,0.8625766964435461,0.8574116318173807,0.7456476517406951,0.9355265782737876,0.7307735048886406,0.9508427178906601,False
free_choice,E,far,10,-0.02002306708216781,-0.0035831895608565553,0.8210469182292417,0.8204601543058361,0.6961699823702664,0.9025768491554986,0.6811703044827168,0.9129713566603762,False
free_choice,E,retention,10,-0.02099062040360803,-0.004367863796149134,0.7919135446135575,0.78288227574862,0.6669750050544009,0.8819824420576448,0.6460540401605446,0.8881883367242256,False
free_choice,E,G,10,-0.035269236510056534,-0.015537972226489699,0.5594468788101137,0.5504127365390388,0.4028920222219497,0.6401197549092507,0.3857038151835626,0.644339819983861,False
free_choice,F,K,10,-0.020927369002819357,-0.02522317843443738,-0.2052723125892839,-0.26180519452418716,-0.7158273543128894,-0.0846039858093187,-0.8075103264949076,-0.07183134991999793,False
free_choice,F,R,10,-0.051677794131362045,-0.0578804719038394,-0.12002597782541757,-0.11808957571861467,-0.15510097497474218,-0.07875980738476464,-0.16159811598280097,-0.07310442483545258,False
free_choice,F,M,10,-0.0196962027629586,-0.0203776546142789,-0.03459813343320506,-0.01177540415681999,-0.03801507964267211,0.01635502446065923,-0.03815630770004954,0.02339093178808372,False
free_choice,F,D,10,0.04569835199518503,0.0520464688014978,-0.13891347344389215,-0.1275777124080545,-0.17774192229911537,-0.072298303651863,-0.19260459231448523,-0.05894760651576113,False
free_choice,F,unaided,10,-0.029033214739893568,-0.03462758018613079,-0.19268846031542597,-0.1891760713915951,-0.34226567124088714,-0.08904520723973952,-0.3641389218788777,-0.08168702830603411,False
free_choice,F,far,10,-0.02002306708216781,-0.02496240312450113,-0.2466822900839305,-0.22724163870823977,-0.3830917341652851,-0.1311555663503461,-0.3972155647531437,-0.12603260261622742,False
free_choice,F,retention,10,-0.02099062040360803,-0.025760227953175424,-0.22722565878746281,-0.20137647329345776,-0.33844744467576626,-0.10845676644071342,-0.3544767840342731,-0.10143889164042377,False
free_choice,F,G,10,-0.035269236510056534,-0.039511744553386796,-0.12028919429884932,-0.12899245773444568,-0.1891252229482271,-0.07135564345437485,-0.19039423532560454,-0.05854840063888547,False
