tag,form,forgetting,epw,effort,wpm,metric,winsorize,network_weights,mechanism,scenario,network,tier,mean,median,n,lo90,hi90,lo95,hi95
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,180,auc,True,equal,D,substitution,Cont,3,1.632712573870542,1.6089278592954093,20,0.6497326036441969,3.3403909313619544,0.547559450943061,3.5260256559870276
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,180,auc,False,area,D,substitution,Cont,3,1.751400200075033,1.7226400899284768,20,0.7149910468833808,3.545835520429915,0.6184634787176576,3.749840133695817
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,180,auc,False,equal,D,substitution,Cont,3,1.6568321627146712,1.6327558224656369,20,0.6638359123901374,3.3773426357007326,0.5633508428055003,3.567596326212167
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,180,mean,True,area,D,substitution,Cont,3,1.3923055581287256,1.3093110197495497,20,0.5121328760362888,2.9244088064812748,0.3751663461999855,3.1859300410025946
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,180,mean,True,equal,D,substitution,Cont,3,1.3103154157732155,1.2364401261250733,20,0.46665463908169624,2.788488102108845,0.32717782741626145,3.0255987199338477
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,180,mean,False,area,D,substitution,Cont,3,1.3562546826611181,1.2756177512873048,20,0.4929890747828497,2.8573566747193357,0.3531326213182979,3.118805182933287
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,180,mean,False,equal,D,substitution,Cont,3,1.2858694662638928,1.2132034028482166,20,0.45385699554825876,2.742275976953385,0.3120080857850888,2.9811199490488764
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,180,peak,True,area,D,substitution,Cont,3,2.9429252211998143,2.870533849053445,20,1.475258022464707,4.5136891175686324,1.4437566766483296,5.412063281090428
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,180,peak,True,equal,D,substitution,Cont,3,2.8069425532313836,2.75507982015531,20,1.4182763220934258,4.3662169612350645,1.3805508373014799,5.215873410036047
spec_brief_weekly_break_1.0_epw5_fixed_low,brief,weekly_break_1.0,5,fixed_low,180,peak,False,area,D,substitution,Cont,3,2.839989666191758,2.7500867877176525,20,1.401116685739632,4.363304596372556,1.3861893005588093,5.196584493271516
