scenario,outcome,year,mean,median,n,lo90,hi90,lo95,hi95,prsup,share_draws_positive,episodes_per_week,run
scaffolding_rapid,p_request,5,-0.03672949361643356,-0.03727731958342895,200,-0.042131702905729984,-0.029591606960650753,-0.04291596236734944,-0.02696548892920249,0.0,0.0,1,v_epw1
scaffolding_rapid,p_request,10,-0.0429265509834886,-0.04342208492685491,200,-0.048593413002997264,-0.03476583985829007,-0.04988860407856026,-0.03216629474408325,0.0,0.0,1,v_epw1
scaffolding_rapid,retention,1,0.0056995702407446865,0.00555539674149814,200,0.002500596648292642,0.009206277252953652,0.00225516601838109,0.010248892303236517,0.736035,1.0,1,v_epw1
scaffolding_rapid,retention,5,0.015724715896025653,0.01580169227418875,200,0.010837587953937047,0.02093392990418835,0.01039675236572764,0.021666635599690443,0.9058949999999999,1.0,1,v_epw1
scaffolding_rapid,retention,10,0.023481273131241594,0.023786663429558957,200,0.016966418669777654,0.02925884556835256,0.016207766778473447,0.029937729624878836,0.98891,1.0,1,v_epw1
scaffolding_rapid,unaided,1,0.007699574692191283,0.007409395620305206,200,0.0034034243284335893,0.013040748314178697,0.0030753043768668342,0.013980863607195172,0.72536,1.0,1,v_epw1
scaffolding_rapid,unaided,5,0.019971540684438918,0.019950607818573204,200,0.012899812111130473,0.027410635936494628,0.011950623096991426,0.028739783842052787,0.8948599999999999,1.0,1,v_epw1
scaffolding_rapid,unaided,10,0.02926506877773942,0.029855457152153007,200,0.01994956855888525,0.03656734334198738,0.01815325986588826,0.037904216677558035,0.986335,1.0,1,v_epw1
substitution,D,1,0.05592835668388215,0.056255707523408444,200,0.04328026493840138,0.06975051528344041,0.040194270533241615,0.07131815129518959,0.9995050000000001,1.0,1,v_epw1
substitution,D,5,0.17678764329308858,0.17616782590217597,200,0.15174401344599758,0.19875059496385722,0.14429231367815043,0.2052287252273169,1.0,1.0,1,v_epw1
substitution,D,10,0.1946613814526565,0.19651218401996012,200,0.1383247259376982,0.23568631889059427,0.13164646332024907,0.23782608270985817,1.0,1.0,1,v_epw1
substitution,G,1,-0.06259073486155357,-0.06302779716820951,200,-0.07122611896972425,-0.05311935950390145,-0.07360713923317071,-0.0522951304874882,0.0,0.0,1,v_epw1
substitution,G,5,-0.13162569417624417,-0.13229211531122492,200,-0.14871203865027613,-0.1144958007413221,-0.1519155840546664,-0.11156920538891309,0.0,0.0,1,v_epw1
substitution,G,10,-0.15533343133545688,-0.15701921868480906,200,-0.178075189200156,-0.12398632237414899,-0.1791784010763406,-0.11856491710598108,0.0,0.0,1,v_epw1
substitution,K,1,-0.09996073227633259,-0.09912194456972101,200,-0.11961668713758489,-0.08368080093700216,-0.12167186786771284,-0.08202375675688282,0.0,0.0,1,v_epw1
substitution,K,5,-0.13804188113614171,-0.13805527914034244,200,-0.16309287231404385,-0.11440876899079962,-0.16572100982132276,-0.11025772003138719,0.0,0.0,1,v_epw1
substitution,K,10,-0.1585027560562464,-0.15907990214952356,200,-0.19003264058983127,-0.12257937558597673,-0.19878629154709773,-0.11797460011789093,0.0,0.0,1,v_epw1
substitution,far,1,-0.07954277777797739,-0.0795060370140646,200,-0.09345868029234614,-0.06544013881338068,-0.09536533026852737,-0.06141213000821914,0.0,0.0,1,v_epw1
substitution,far,5,-0.09812928491068754,-0.09869117880299091,200,-0.11720428283492773,-0.07853667301524069,-0.1182622451138211,-0.07622008237160967,0.0,0.0,1,v_epw1
substitution,far,10,-0.08890693155992885,-0.09032748273586805,200,-0.11965845584324074,-0.04991870226305102,-0.12207434722281228,-0.04852096478203235,0.0,0.0,1,v_epw1
