stimulus_id,unit_id,condition,variant,text,modality,example_count,word_count,sentence_count,character_count,readability,equation_count,lexical_diversity,duration
roi_001_traditional,roi_001,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/roi_001.md,text,1,461,29,2805,8.42,7,0.371,125.7
roi_001_ai_scaffolding,roi_001,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/roi_001.md,text,1,485,30,2804,8.26,4,0.373,132.3
roi_001_ai_substitution,roi_001,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/roi_001.md,text,1,491,29,2942,8.41,7,0.391,133.9
roi_002_traditional,roi_002,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/roi_002.md,text,1,433,25,2672,9.01,7,0.42,118.1
roi_002_ai_scaffolding,roi_002,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/roi_002.md,text,1,452,28,2687,8.41,4,0.409,123.3
roi_002_ai_substitution,roi_002,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/roi_002.md,text,1,445,25,2764,9.57,7,0.431,121.4
spo_001_traditional,spo_001,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/spo_001.md,text,1,624,37,3782,9.77,10,0.351,170.2
spo_001_ai_scaffolding,spo_001,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/spo_001.md,text,1,625,35,3707,9.74,5,0.384,170.5
spo_001_ai_substitution,spo_001,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/spo_001.md,text,1,627,36,3793,9.98,10,0.364,171.0
spo_002_traditional,spo_002,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/spo_002.md,text,1,645,35,3791,9.6,4,0.369,175.9
spo_002_ai_scaffolding,spo_002,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/spo_002.md,text,1,646,35,3746,9.33,3,0.378,176.2
spo_002_ai_substitution,spo_002,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/spo_002.md,text,1,654,35,3848,9.81,4,0.382,178.4
tp_001_traditional,tp_001,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/tp_001.md,text,1,539,33,3305,8.21,12,0.332,147.0
tp_001_ai_scaffolding,tp_001,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/tp_001.md,text,1,567,34,3299,7.88,8,0.347,154.6
tp_001_ai_substitution,tp_001,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/tp_001.md,text,1,533,32,3260,8.2,12,0.356,145.4
tp_002_traditional,tp_002,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/tp_002.md,text,1,520,33,3117,7.23,11,0.338,141.8
tp_002_ai_scaffolding,tp_002,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/tp_002.md,text,1,547,34,3181,7.32,8,0.373,149.2
tp_002_ai_substitution,tp_002,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/tp_002.md,text,1,511,33,3084,7.31,11,0.374,139.4
wac_001_traditional,wac_001,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/wac_001.md,text,1,560,32,3331,8.45,12,0.346,152.7
wac_001_ai_scaffolding,wac_001,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/wac_001.md,text,1,577,32,3331,8.78,7,0.357,157.4
wac_001_ai_substitution,wac_001,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/wac_001.md,text,1,584,31,3443,8.81,12,0.366,159.3
wac_002_traditional,wac_002,traditional,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/traditional/wac_002.md,text,1,545,33,3215,7.89,11,0.367,148.6
wac_002_ai_scaffolding,wac_002,ai_scaffolding,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_scaffolding/wac_002.md,text,1,560,33,3196,8.18,6,0.388,152.7
wac_002_ai_substitution,wac_002,ai_substitution,primary,C:/Users/mguar/Desktop/Esade/icp/neurai/stimuli/ai_substitution/wac_002.md,text,1,554,33,3278,7.93,11,0.388,151.1
